Week,otb discs: (United States),gk pro: (United States),only the best discs: (United States),otb disc golf: (United States),Sponsored Skins Video,disc golf: (United States),disc golf youtube: (United States)
12/22/19,0,0,0,0,0,12,39
12/29/19,0,0,0,0,0,14,36
1/5/20,0,0,0,0,0,27,30
1/12/20,0,0,0,8,0,30,36
1/19/20,0,0,0,0,0,15,32
1/26/20,0,0,8,0,0,29,28
2/2/20,0,0,0,0,0,22,35
2/9/20,8,0,0,8,0,34,39
2/16/20,17,42,8,0,0,56,43
2/23/20,24,0,0,0,0,70,50
3/1/20,8,42,8,0,0,55,42
3/8/20,0,0,0,0,0,34,51
3/15/20,16,0,0,0,0,35,46
3/22/20,39,0,0,8,0,42,44
3/29/20,15,0,0,0,0,18,46
4/5/20,30,37,0,0,0,23,49
4/12/20,7,0,15,0,0,10,46
4/19/20,7,0,0,0,0,29,49
4/26/20,0,0,15,15,0,42,62
5/3/20,7,0,0,0,0,42,62
5/10/20,15,0,0,0,0,39,71
5/17/20,22,0,0,15,0,54,70
5/24/20,8,19,0,0,0,45,84
5/31/20,30,20,0,0,2,57,85
6/7/20,15,0,0,0,0,52,84
6/14/20,40,0,16,32,0,61,90
6/21/20,16,0,0,0,0,85,100
6/28/20,49,0,8,24,0,75,98
7/5/20,41,0,0,8,2,85,87
7/12/20,74,82,0,16,2,100,97
7/19/20,42,0,0,17,0,90,97
7/26/20,25,0,0,17,2,72,92
8/2/20,58,41,0,8,2,74,93
8/9/20,50,40,0,8,2,79,92
8/16/20,57,20,8,16,2,68,93
8/23/20,39,0,0,0,0,82,85
8/30/20,16,21,0,8,2,80,83
9/6/20,40,0,0,32,0,77,86
9/13/20,100,64,0,23,2,75,82
9/20/20,31,42,0,23,2,88,82
9/27/20,25,0,0,50,0,75,74
10/4/20,76,21,8,8,2,64,78
10/11/20,64,21,0,9,2,74,71
10/18/20,84,42,0,9,2,69,75
10/25/20,56,0,0,19,2,67,60
11/1/20,47,63,0,8,2,67,46
11/8/20,97,100,0,18,2,58,61
11/15/20,46,40,0,18,2,50,57
11/22/20,65,39,0,9,2,51,82
11/29/20,53,21,9,44,0,63,71
12/6/20,27,40,0,9,0,48,71
12/13/20,16,34,16,31,0,65,51